class,subclass,PrXs,pid,marketloss,share,freq,duration
Marine Hull,Main,Excess,MH_main_2735,7827.454901,0.054999998,5,0.996577687
Marine Hull,Main,Excess,MH_main_2735,1110588.96,0.054999998,5,0.996577687
Marine Hull,Main,Excess,MH_main_3322,945,0.076,8,0.999315537
Marine Hull,Main,Excess,MH_main_3322,775032.7632,0.076,8,0.999315537
Marine Hull,Main,Excess,MH_main_3322,773501.8421,0.076,8,0.999315537
Marine Hull,Main,Excess,MH_main_3322,1009.473684,0.076,8,0.999315537
Marine Hull,Main,Excess,MH_main_3322,82656.84211,0.076,8,0.999315537
Marine Hull,Main,Excess,MH_main_3322,11151.05263,0.076,8,0.999315537
Marine Hull,Main,Excess,MH_main_3322,2925,0.076,8,0.999315537
Marine Hull,Main,Excess,MH_main_3322,133510.7895,0.076,8,0.999315537
Marine Hull,Main,Excess,MH_main_3322,3091.973684,0.076,8,0.999315537
Marine Hull,Main,Excess,MH_main_3323,945,0.03,8,0.999315537
Marine Hull,Main,Excess,MH_main_3323,775032.6667,0.03,8,0.999315537
Marine Hull,Main,Excess,MH_main_3323,787911,0.03,8,0.999315537
Marine Hull,Main,Excess,MH_main_3323,1009.666667,0.03,8,0.999315537
Marine Hull,Main,Excess,MH_main_3323,82657,0.03,8,0.999315537
Marine Hull,Main,Excess,MH_main_3323,11151,0.03,8,0.999315537
Marine Hull,Main,Excess,MH_main_3323,2925,0.03,8,0.999315537
Marine Hull,Main,Excess,MH_main_3323,136593,0.03,8,0.999315537
Marine Hull,Main,Excess,MH_main_3968,3810,0.075,10,0.996577687
Marine Hull,Main,Excess,MH_main_3968,379470.1333,0.075,10,0.996577687
Marine Hull,Main,Excess,MH_main_3968,3574221.467,0.075,10,0.996577687
Marine Hull,Main,Excess,MH_main_3968,1135.2,0.075,10,0.996577687
Marine Hull,Main,Excess,MH_main_3968,15734.26667,0.075,10,0.996577687
Marine Hull,Main,Excess,MH_main_3968,2039.6,0.075,10,0.996577687
Marine Hull,Main,Excess,MH_main_3968,1350,0.075,10,0.996577687
Marine Hull,Main,Excess,MH_main_3968,6956.933333,0.075,10,0.996577687
Marine Hull,Main,Excess,MH_main_3968,493224.1333,0.075,10,0.996577687
Marine Hull,Main,Excess,MH_main_3968,6031.333333,0.075,10,0.996577687
Marine Hull,Main,Excess,MH_main_3968,1439936.667,0.075,10,0.996577687
Marine Hull,Main,Excess,MH_main_3969,3810,0.03,10,0.996577687
Marine Hull,Main,Excess,MH_main_3969,379470,0.03,10,0.996577687
